Program,Promise,Outcome
Vacant Lot Set Aside,"52 city-owned vacant lots reserved for new housing with units affordable to residents making $17,500 per year.",The city sold two lots. One housing development is completed.
,,
Preservation of Existing Affordable Rental (PEAR) program,$1.5M in grants to buy or refinance multifamily properties in exchange for 30-year affordability agreements.,"No applications were received. The $1.5M in funding was ""reallocated,"" according to DOH.
"
,,
Renew Woodlawn,"$500,000 granted to nonproftit developer POAH to acquire and redevelop residential units in Woodlawn. ","To date, POAH has not used the money. "
,,
Woodlawn Loan Fund,$7 million dollars loan fund for local developrs to bring vacant lots and apartment buidlings back online. ,40 units were financed. No single family home projects got off the ground. 
,,
Long-term Homeowner Home Improvement Grant Program,$1 million dollars granted to longterm homeowners in Woodlawn who need help fixing up their properties. ,"36 homeowners received grants up to $20,000."
,,
Enhanced Local Hiring Requirements,"City required developers on city-owned land to submit plans for local hiring, outreach, and training.",One developer submitted a plan for 19 jobs and hired three people. 
,,
Tenant Right of First Refusal pilot program,Give Woodlawn renters the first chance to match or beat outside offers on their buildings before a sale goes through.,"To date, no tenants have exercised their right of first refusal. "